When was PRODUCT invented?	NNP	PRODUCT
What 's the meaning of ORG?	NN	ORG
Who 's the President of GPE?	NNP	GPE
For what purpose was PRODUCT first created?	NNP	PRODUCT
Where is ORG located ?	NNP	ORG
Where does the name PERSON come from?	NNP	PERSON
When is PERSON 's Birthday?	NNP	PERSON
What kind of government does GPE have?	NNP	GPE
Where does PERSON live , what state and city?	NNP	PERSON
What is PERSON 's last name?	NNP	PERSON
What nationality is PERSON?	NNP	PERSON
What kind of Government does GPE have?	NNP	GPE
Who is the creator of WORK_OF_ART?	NN	WORK_OF_ART
What does WORK_OF_ART stand for?	NN	WORK_OF_ART
When was WORK_OF_ART created?	NN	WORK_OF_ART
"What is the most famous "" WORK_OF_ART "" in history?"	NN	WORK_OF_ART
What is the name of the national bird in GPE?	NNP	GPE
What does ORG stand for?	NNP	ORG
Does PERSON have a Middle Name?	NNP	PERSON
When was ORG founded?	NNP	ORG
What is GPE state bird?	NNP	GPE
When was GPE‘s capital established?	NNP	GPE
How tall is PERSON?	NNP	PERSON
What is PERSON 's full name?	NNP	PERSON
What is the oldest mountain chain in GPE?	NNP	GPE
Where Did PERSON Go To College?	NNP	PERSON
Who do you call someone from GPE?	NNP	GPE
What year did GPE become a democratic country?	NNP	GPE
What language do they speak in GPE?	NN	GPE
What is PERSON 's Last Name?	NNP	PERSON
Who is PERSON?	NNP	PERSON
What is PERSON 's full name?	NNP	PERSON
What 's the capitol of GPE?	NNP	GPE
Who is PERSON in love with?	NNP	PERSON
Which country is northwest of GPE?	NNP	GPE
What is GPE 's national sport?	NNP	GPE
What year was PERSON born in?	NNP	PERSON
What is the capital of GPE?	NNP	GPE
What is the main religion in GPE?	NNP	GPE
What is the official name of GPE?	NNP	GPE
Which year was PERSON born?	NNP	PERSON
What race is PERSON?	NNP	PERSON
What is the largest city in GPE?	NNP	GPE
Who is the ruler of GPE?	NNP	GPE
What do you call a person from GPE?	NNP	GPE
What language do NORP speak?	NNPS	NORP
What does ORG mean?	NNP	ORG
How big is FAC?	NN	FAC
When was FAC built? 	NN	FAC
Who is the architect of FAC?	NN	FAC
Where is FAC located?	NN	FAC
What language family does LANGUAGE belong to?	NNP	LANGUAGE
How many people speak LANGUAGE?	NNP	LANGUAGE
Is it hard to learn LANGUAGE?	NNP	LANGUAGE
When did EVENT take place?	NNP	EVENT
Who goes to EVENT?	NNP	EVENT
Where does EVENT take place?	NNP	EVENT
