,Q,TAG
333,what does NNP_ANIMAL mean ?,NNP_ANIMAL
335,What 's this NN_COMMUNICATION ?,NN_COMMUNICATION
341,Who invented the NNP_COMMUNICATION ?,NNP_COMMUNICATION
348,who interviewed NNP_GROUP ?,NNP_GROUP
352,how old was NN_PERSON when he retired ?,NN_PERSON
358,whats the NN_COMMUNICATION called ?,NN_COMMUNICATION
363,Who is NNP_PERSON ?,NNP_PERSON
364,how cold NN_ARTIFACT ?,NN_ARTIFACT
369,What did NNP_GROUP die of ?,NNP_GROUP
376,"heaven something , what 's that NN_COMMUNICATION ?",NN_COMMUNICATION
380,how to classify a NN_ANIMAL ?,NN_ANIMAL
381,when was NN_PERSON invented ?,NN_PERSON
385,When was the NN_FOOD came out ?,NN_FOOD
386,what is the proper name for the NN_BODY ?,NN_BODY
388,when did NNP_ACT come out ?,NNP_ACT
389,What do you call someone who does n't belong to any NNS_COGNITION ?,NNS_COGNITION
390,What 's the biggest NN_ARTIFACT in the world ?,NN_ARTIFACT
392,What is this NN_COGNITION ?,NN_COGNITION
393,when was the NN_ACT started ?,NN_ACT
395,Define the NN_COMMUNICATION ?,NN_COMMUNICATION
396,What is NNP_GROUP‘s motto ?,NNP_GROUP
400,how long has the NN_POSSESSION been around ?,NN_POSSESSION
405,Who is the father of NN_COGNITION ?,NN_COGNITION
407,Who started the whole `` NN_PERSON '' thing ?,NN_PERSON
409,Is NNP_PERSON still alive ?,NNP_PERSON
412,where was NNP_GROUP born ?,NNP_GROUP
413,What is this NN_COMMUNICATION ?,NN_COMMUNICATION
419,What is JJ_COMMUNICATION made up of ?,JJ_COMMUNICATION
424,When was NNP_FOOD invented ?,NNP_FOOD
427,when does NN_EVENT start ?,NN_EVENT
428,What 's those NNS_ARTIFACT called ?,NNS_ARTIFACT
432,whats the real NN_COGNITION ?,NN_COGNITION
433,what was the NN_COMMUNICATION called ?,NN_COMMUNICATION
434,Where is the NN_COGNITION ?,NN_COGNITION
438,What is on NNP_LOCATION ?,NNP_LOCATION
442,What is NNP_PERSON‘s Ethnicity ?,NNP_PERSON
444,where is NN_LOCATION located ?,NN_LOCATION
448,What is NNS_COMMUNICATION‘s real name.. ?,NNS_COMMUNICATION
450,what are those NNS_FEELING called ?,NNS_FEELING
453,What does NNP_PERSON mean ?,NNP_PERSON
458,When was the first NN_ARTIFACT ?,NN_ARTIFACT
465,How old is NNP_PERSON ?,NNP_PERSON
468,what is the NNP_PERSON made out of ?,NNP_PERSON
469,Where is CD_ARTIFACT ?,CD_ARTIFACT
475,What does NNP_PERSON mean ?,NNP_PERSON
481,Is NNP_PERSON modern or postmodern ?,NNP_PERSON
483,What is NNP_GROUP last name ?,NNP_GROUP
484,Where was the NNP_GROUP ?,NNP_GROUP
485,Where NNP_GROUP born ?,NNP_GROUP
486,Where do NNS_PERSON live ?,NNS_PERSON
494,What does NNP_QUANTITY stand for ?,NNP_QUANTITY
496,where are NN_ARTIFACT ?,NN_ARTIFACT
500,What does NNP_LOCATION for then ?,NNP_LOCATION
502,NNS_FOOD with ... .. ?,NNS_FOOD
504,What is synonymous with NNS_GROUP ?,NNS_GROUP
510,whats NNP_GROUP nationality ?,NNP_GROUP
520,what does NNP_COGNITION stand for ?,NNP_COGNITION
523,Where did NNP_GROUP grow up ?,NNP_GROUP
525,What is NNP_LOCATION Nationality ?,NNP_LOCATION
530,What is NNP_GROUP full name ?,NNP_GROUP
531,What is the scientific name of JJ_ARTIFACT ?,JJ_ARTIFACT
532,when did the NN_ARTIFACT begin ?,NN_ARTIFACT
533,when did NN_PERSON who start ?,NN_PERSON
535,what 's a NN_ARTIFACT ?,NN_ARTIFACT
536,What NNP_GROUP is This ?,NNP_GROUP
537,what`s the deepest NN_ATTRIBUTE in the world ?,NN_ATTRIBUTE
539,what did NNP_PERSON contribute to ?,NNP_PERSON
540,What does NNP_TIME stand for ?,NNP_TIME
544,who invented NN_COMMUNICATION ?,NN_COMMUNICATION
546,NNP_PERSON - what does the name stand for ?,NNP_PERSON
548,when did NNS_COMMUNICATION came out ?,NNS_COMMUNICATION
555,Biggest NNP_ANIMAL in the world ?,NNP_ANIMAL
558,What does NNP_PERSON stand for ?,NNP_PERSON
562,When was NNP_GROUP Born ?,NNP_GROUP
563,"when did JJ_GROUP , first come out ?",JJ_GROUP
573,Is a NN_COGNITION living or non-living ?,NN_COGNITION
574,when is NNP_GROUP 's Birthday ?,NNP_GROUP
579,Whats the NN_COMMUNICATION ?,NN_COMMUNICATION
581,What NN_COMMUNICATION is this ?,NN_COMMUNICATION
582,Can You Tell Me Who This NNP_PERSON Is ?,NNP_PERSON
588,Who discovered NN_ARTIFACT ?,NN_ARTIFACT
589,What Is This NNP_GROUP?,NNP_GROUP
591,Who is the fastest NN_PERSON in the world ?,NN_PERSON
593,What NN_PERSON is this ?,NN_PERSON
598,who won the first NNP_ARTIFACT ?,NNP_ARTIFACT
606,Where NNP_GROUP went to school ?,NNP_GROUP
608,what 's that NN_EVENT called i forgot ?,NN_EVENT
611,what is the NNP_GROUP famous for ?,NNP_GROUP
613,when did NN_GROUP first started ?,NN_GROUP
614,how wide ( ft ) is the NN_ARTIFACT ?,NN_ARTIFACT
616,Whats `` Near '' s NNP_POSSESSION ?,NNP_POSSESSION
618,What is NNP_GROUP 's last name ?,NNP_GROUP
629,how old was NN_PERSON when he died ?,NN_PERSON
631,What is NNP_GROUP Last Name ?,NNP_GROUP
636,Do you know any NNP_COMMUNICATION ?,NNP_COMMUNICATION
637,What NN_ANIMAL is this ?,NN_ANIMAL
642,How much does NNP_GROUP weight ?,NNP_GROUP
644,Who was the NN_PERSON ?,NN_PERSON
645,What is NNP_GROUP 's real first name ?,NNP_GROUP
647,How many NN_PERSON exist ?,NN_PERSON
648,can you tell me what is this NN_COMMUNICATION is ?,NN_COMMUNICATION
649,Where did NNP_GROUP grow up ?,NNP_GROUP
651,How long do NNS_PERSON live ?,NNS_PERSON
655,Whats the maximum NN_COGNITION ... . ?,NN_COGNITION
656,How tall is NNP_LOCATION ?,NNP_LOCATION
657,Where is NNP_GROUP made ?,NNP_GROUP
667,when did JJ_COGNITION occur ?,JJ_COGNITION
668,When did NNP_GROUP get married ?,NNP_GROUP
675,when is NNP_GROUP birthday ?,NNP_GROUP
678,How do you pronounce NNS_PERSON ?,NNS_PERSON
682,what do u mean by NN_COMMUNICATION ?,NN_COMMUNICATION
690,What is NNP_GROUP full name ?,NNP_GROUP
695,When was the first NNP_LOCATION ?,NNP_LOCATION
699,What does NNP_PERSON mean ?,NNP_PERSON
701,When will NNP_PERSON be back ?,NNP_PERSON
702,Is there a NNP_PERSON movie ?,NNP_PERSON
706,Who first discovered NNP_GROUP ?,NNP_GROUP
715,who was the first prime of NNP_LOCATION ?,NNP_LOCATION
719,What is the NN_ARTIFACT made out of ?,NN_ARTIFACT
723,what did NNP_PERSON discover ?,NNP_PERSON
725,What trees does VB_COMMUNICATION grow on ?,VB_COMMUNICATION
728,What does the NNP_GROUP stand for ?,NNP_GROUP
729,where does NNS_ARTIFACT come from ?,NNS_ARTIFACT
730,How far back does NN_COMMUNICATION go ?,NN_COMMUNICATION
736,Who owned the NNP_GROUP ?,NNP_GROUP
737,How old was JJ_PERSON when he died ?,JJ_PERSON
738,what does NNP_ANIMAL stand for ?,NNP_ANIMAL
739,what means NN_ARTIFACT ?,NN_ARTIFACT
742,where was NN_PERSON born ?,NN_PERSON
765,what do u call NN_FOOD in english ?,NN_FOOD
769,who invented the NN_ARTIFACT ?,NN_ARTIFACT
771,When was the last NNP_LOCATION ?,NNP_LOCATION
776,Where did NNP_GROUP grow up ?,NNP_GROUP
780,who invented NN_ARTIFACT ?,NN_ARTIFACT
782,when was NN_PERSON born ?,NN_PERSON
788,How old was NN_PERSON when she died ?,NN_PERSON
789,from what tree do we get VBN_FOOD ?,VBN_FOOD
790,What is the oldest mountain chain in NNP_LOCATION ?,NNP_LOCATION
791,When you obsess and have repeating NNS_COGNITION . ?,NNS_COGNITION
796,Who is in charge of NNP_LOCATION ?,NNP_LOCATION
797,Who do you call someone from NNP_LOCATION ?,NNP_LOCATION
798,what is NNP_GROUP ?,NNP_GROUP
799,What is NNP_GROUP full name ?,NNP_GROUP
801,what NN_GROUP am i ?,NN_GROUP
803,what does this NN_GROUP mean ?,NN_GROUP
804,Can you please tell me who this NNP_COMMUNICATION is ?,NNP_COMMUNICATION
806,how many NNS_ARTIFACT does a human being has ?,NNS_ARTIFACT
809,What is NNP_COGNITION ?,NNP_COGNITION
815,Who invented the NN_ARTIFACT ?,NN_ARTIFACT
816,What Is NNP_PERSON 's Real Last Name ?,NNP_PERSON
819,How much does a NNP_COGNITION weigh ?,NNP_COGNITION
821,who was the first NNP_ARTIFACT ?,NNP_ARTIFACT
826,How is NNP_LOCATION mainly divided ?,NNP_LOCATION
831,what is NN_ACT ?,NN_ACT
833,which NN_FOOD migrates the farthest ?,NN_FOOD
836,When was NNP_GROUP ?,NNP_GROUP
837,Who knows when NNP_PERSON is coming out ?,NNP_PERSON
838,When did NNP_GROUP start ?,NNP_GROUP
839,who is on the NN_ARTIFACT ?,NN_ARTIFACT
846,What 's the most southern NN_GROUP in the world ?,NN_GROUP
853,who was the 1st NN_PERSON .. ?,NN_PERSON
856,What does NNP_GROUP stand for ?,NNP_GROUP
858,What NN_TIME ?,NN_TIME
861,who invented the first NN_ARTIFACT ?,NN_ARTIFACT
862,What does NN_COGNITION mean ?,NN_COGNITION
865,Where do NNS_FOOD come from ?,NNS_FOOD
869,Where is NNP_LOCATION ?,NNP_LOCATION
870,What is NN_FOOD ?,NN_FOOD
871,Where does the NN_ANIMAL live?,NN_ANIMAL
872,What is a NN_ARTIFACT?,NN_ARTIFACT
873,Where is the NN_BODY located?,NN_BODY
874,What kind of attribute is NN_ATTRIBUTE?,NN_ATTRIBUTE
875,When did the NN_ACT happen?,NN_ACT
876,How does a NN_ARTIFACT WORK? ,NN_ARTIFACT
877,How do you feel about the NN_EVENT?,NN_EVENT
878,What does a NN_PERSON do?,NN_PERSON
879,How do you use a NN_ARTIFACT?,NN_ARTIFACT
880,Where is NN_ARTIFACT used?,NN_ARTIFACT
881,Where does the NN_ANIMAL live?,NN_ANIMAL
882,What is a NN_ARTIFACT?,NN_ARTIFACT
883,Where is the NN_BODY located?,NN_BODY
884,What kind of attribute is NN_ATTRIBUTE?,NN_ATTRIBUTE
885,When did the NN_ACT happen?,NN_ACT
886,How does a NN_ARTIFACT WORK? ,NN_ARTIFACT
887,How do you feel about the NN_EVENT?,NN_EVENT
888,What does a NN_PERSON do?,NN_PERSON
889,How do you use a NN_ARTIFACT?,NN_ARTIFACT
890,Where is NN_ARTIFACT used?,NN_ARTIFACT
891,Where do NNS_ANIMAL live?,NNS_ANIMAL
892,What are NNS_ARTIFACT?,NNS_ARTIFACT
893,Where are the NNS_BODY located?,NNS_BODY
894,How do NNS_ARTIFACT work?,NNS_ARTIFACT
895,What happened at the NN_EVENT?,NN_EVENT
896,What does NNP_PERSON do?,NNP_PERSON
897,In what context is NN_ARTIFACT used?,NN_ARTIFACT
898,How useful is a NN_ARTIFACT?,NN_ARTIFACT
899,In what contexts are NNS_ARTIFACT used?,NNS_ARTIFACT
900,How useful are NNS_ARTIFACT?,NNS_ARTIFACT
901,Do you ever use a NN_ARTIFACT?,NN_ARTIFACT
902,Do you ever use NNS_ARTIFACT?,NNS_ARTIFACT
